function,percent,current_score,max_score,model,asm_lines
GetNextIqSkill,98.125,60,3200,gemini-3-flash-preview,46
sub_02058FA4,100.0,0,1000,gemini-3-flash-preview,18
sub_02058FCC,100.0,0,3700,gemini-3-flash-preview,49
GetExplorerMazeTeamName,100.0,0,2400,gemini-3-flash-preview,45
sub_020590C0,100.0,0,700,gemini-3-flash-preview,15
sub_020590DC,100.0,0,700,gemini-3-flash-preview,15
GetExplorerMazeMonster,100.0,0,800,gemini-3-flash-preview,16
WriteMonsterInfoToSave,100.0,0,6700,gemini-3-flash-preview,81
ReadMonsterInfoFromSave,91.17647058823529,600,6800,gemini-3-flash-preview,83
WriteMonsterToSave,100.0,0,6800,gemini-3-flash-preview,77
ReadMonsterFromSave,100.0,0,7400,gemini-3-flash-preview,84
sub_0205956C,83.75862068965517,2355,14500,gemini-3-flash-preview,162
sub_020597B0,91.37931034482759,250,2900,gemini-3-flash-preview,41
sub_02059824,0,1,1,gemini-3-flash-preview,164
sub_02059A74,100.0,0,2900,gemini-3-flash-preview,41
sub_02059AE8,100.0,0,400,gemini-3-flash-preview,12
sub_02059AF8,100.0,0,400,gemini-3-flash-preview,12
sub_02059B08,100.0,0,400,gemini-3-flash-preview,12
GetEvolutionPossibilities,0,1,1,gemini-3-flash-preview,510
GetMonsterEvoStatus,80.0,600,3000,gemini-3-flash-preview,43
sub_0205A288,100.0,0,4600,gemini-3-flash-preview,60
sub_0205A340,0,1,1,gemini-3-flash-preview,83
CopyTacticString,100.0,0,800,gemini-3-flash-preview,21
GetStatBoostsForMonsterSummary,100.0,0,2500,gemini-3-flash-preview,32
sub_0205A4B4,63.948760330578516,21811,60500,gemini-3-flash-preview,700
CreateMonsterSummaryFromTeamMember,91.91666666666667,970,12000,gemini-3-flash-preview,138
sub_0205B008,100.0,0,800,gemini-3-flash-preview,16
sub_0205B028,100.0,0,3000,gemini-3-flash-preview,43
sub_0205B0A0,100.0,0,600,gemini-3-flash-preview,15
sub_0205B0B8,96.15384615384616,100,2600,gemini-3-flash-preview,35
